ANO4,TRIMESTRE,PROVINCIA,label_provincia,total_ocupados,total_desocupados,pea,pob_10_mas,tasa_actividad,tasa_empleo,tasa_desempleo
2023,3,Jujuy,Jujuy,164218,8266,172484,357041,0.4830929781173591,0.4599415753372862,0.04792328563808817
2023,3,La Pampa,La Pampa,58168,4360,62528,131455,0.4756608725419345,0.4424936289985166,0.06972876151484135
2023,3,La Rioja,La Rioja,107107,3535,110642,233405,0.4740344037188578,0.4588890555043808,0.03194989244590662
2023,3,Mendoza,Mendoza,484097,26194,510291,1050038,0.4859738409467086,0.46102807707911525,0.051331495166483436
2023,3,Misiones,Misiones,178965,5156,184121,385689,0.4773820357853089,0.46401375201263195,0.028003323901130237
2023,3,Neuquén,Neuquén,144512,8579,153091,319587,0.47902762002209104,0.45218359945805053,0.056038565297764076
2023,3,Río Negro,Río Negro,33790,361,34151,85219,0.4007439655475892,0.3965078210258276,0.010570700711545781
2023,3,Salta,Salta,286678,14410,301088,659580,0.4564844294854301,0.434637193365475,0.047859761930066955
2023,3,San Juan,San Juan,229289,10617,239906,550628,0.4356952425230827,0.41641362226403306,0.044254833142981
2023,3,San Luis,San Luis,107753,3826,111579,246827,0.45205346254664197,0.4365527272137975,0.034289606467166764
2023,3,Santa Cruz,Santa Cruz,58408,1769,60177,129378,0.4651254463664611,0.45145233347246055,0.029396613324027453
2023,3,Santa Fe,Santa Fe,863940,42732,906672,1893844,0.4787469295253463,0.4561832970403053,0.047130605114087565
2023,3,Santiago del Estero,Santiago del Estero,187342,847,188189,413360,0.455266595703503,0.4532175343526224,0.0045007944141262244
2023,3,Tierra del Fuego,Tierra del Fuego,81395,6963,88358,175727,0.5028140240259038,0.46319006185731276,0.0788044093347518
2023,3,Tucumán,Tucumán,421612,25917,447529,918713,0.48712601214960494,0.4589158964769193,0.05791133088581969
2023,2,Buenos Aires,Buenos Aires,6470382,512598,6982980,14939128,0.46742888875441724,0.43311644427974644,0.07340676902984113
2023,2,Catamarca,Catamarca,98665,5201,103866,229882,0.45182310924735297,0.42919845833949594,0.0500741339803208
2023,2,Chaco,Chaco,170817,10140,180957,421874,0.42893612784859936,0.40490051531974003,0.056035411727648005
2023,2,Chubut,Chubut,167398,8258,175656,399541,0.4396444920546327,0.41897577470146996,0.04701234230541513
2023,2,Ciudad Autónoma de Buenos Aires,CABA,1540607,63054,1603661,3004760,0.5337068517951516,0.5127221475259255,0.03931878370802807
2023,2,Corrientes,Corrientes,171882,8264,180146,388381,0.4638383443062354,0.4425602694261563,0.04587390227926238
2023,2,Córdoba,Córdoba,807308,72407,879715,1772185,0.4964013350750627,0.4555438625199965,0.08230733817202163
2023,2,Entre Ríos,Entre Ríos,193796,13181,206977,448951,0.4610235860929144,0.4316640346051128,0.06368340443624171
2023,2,Formosa,Formosa,93021,1934,94955,260265,0.3648396826311644,0.35740879488213934,0.02036754252014112
2023,2,Jujuy,Jujuy,158739,9829,168568,356204,0.47323443869243464,0.44564070027287733,0.05830881306060462
