ANO4,TRIMESTRE,AGLOMERADO,gini,p90,p10,ratio_p90_p10
2020,4to Trimestre,Salta,0.41867065836316897,32640,3833.33,8.514790012860882
2020,4to Trimestre,La Rioja,0.3185615864633178,25000,6250,4
2020,4to Trimestre,San Luis - El Chorrillo,0.3791189242421922,32500,5744.44,5.6576446093962165
2020,4to Trimestre,Gran San Juan,0.34784927457036474,32000,6193.45,5.1667487426232555
2020,4to Trimestre,Gran Tucuman - T. Viejo,0.3985309745748964,29750,5000,5.95
2020,4to Trimestre,Santa Rosa - Toay,0.4446211674928122,48000,6000,8
2020,4to Trimestre,Ushuaia - Rio Grande,0.37604437246872635,51500,8000,6.4375
2020,4to Trimestre,Ciudad de Buenos Aires,0.35343636509958287,65000,10800,6.018518518518518
2020,4to Trimestre,Partidos del GBA,0.47103756896876803,34912.50000000008,3400,10.2683823529412
2020,4to Trimestre,Mar del Plata - Batan,0.45146594629970593,44400.002000000015,4849.998000000004,9.154643362739526
2020,4to Trimestre,Rio Cuarto,0.40444822064412733,40000,5620,7.117437722419929
2020,4to Trimestre,San Nicolas - Villa Constitucion,0.40697248760159255,37500,5600,6.696428571428571
2020,4to Trimestre,Rawson - Trelew,0.40878571618779347,51500,7500,6.866666666666666
2020,4to Trimestre,Viedma - Carmen de Patagones.,0.3931619512852933,45000,6500,6.923076923076923
2020,3er Trimestre,Gran La Plata,0.8383723390225555,746667,2500,298.6668
2020,3er Trimestre,Bahia Blanca - Cerri,0.8308868745397895,1412857,9060,155.9444812362031
2020,3er Trimestre,Gran Rosario,0.8578361755935191,1186667.0000000044,5250,226.03180952381035
2020,3er Trimestre,Gran Santa Fe,0.8299064034206936,955000,6250,152.8
2020,3er Trimestre,Gran Parana,0.8337936088751832,1333333,6000,222.22216666666668
2020,3er Trimestre,Posadas,0.8114621413074303,1128333,7296,154.65090460526315
2020,3er Trimestre,Gran Resistencia,0.8280327962736322,956667,5000,191.3334
2020,3er Trimestre,Cdro. Rivadavia - R.Tilly,0.8091254319825651,2158095.200000007,8900,242.48260674157385
2020,3er Trimestre,Gran Mendoza,0.8285245864822173,1336666.4000000046,6880,194.28290697674484
2020,3er Trimestre,Corrientes,0.7949758883157756,1453333,6400,227.08328125
2020,3er Trimestre,Gran Cordoba,0.8091952903471622,1646667,6500,253.3333846153846
2020,3er Trimestre,Concordia,0.7826387383473019,1341333.0000000019,6500,206.35892307692336
2020,3er Trimestre,Formosa,0.7913572774891833,1228666.9999999981,6250,196.5867199999997
2020,3er Trimestre,Neuquen - Plottier,0.8444271622470723,1633333,8000,204.166625
2020,3er Trimestre,S. del Estero - La Banda,0.7708666390703343,1405714,7375,190.6052881355932
2020,3er Trimestre,Jujuy - Palpala,0.7782037644003879,1166667,8000,145.833375
2020,3er Trimestre,Rio Gallegos,0.8346751997599746,2033333,8000,254.166625
2020,3er Trimestre,Gran Catamarca,0.7829215470628696,1496667,6875,217.69701818181818
2020,3er Trimestre,Salta,0.7795981620622854,1423333,6400,222.39578125
2020,3er Trimestre,La Rioja,0.7895123611440624,1333333,8250,161.61612121212121
2020,3er Trimestre,San Luis - El Chorrillo,0.7859263436982928,1483333,7800,190.17089743589744
